LGA,unemployed
Alpine,221
Ararat,308
Ballarat,2432
Banyule,3207
Bass Coast,1141
Baw Baw,1188
Bayside,1699
Benalla,358
Boroondara,4107
Brimbank,41
Buloke,11732
Campaspe,120
Cardinia,1190
Casey,3311
Central Goldfields,11253
Colac-Otway,425
Corangamite,475
Darebin,288
East Gippsland,5733
Frankston,1730
Gannawarra,5174
Glen Eira,190
Glenelg,3217
Golden Plains,587
Greater Bendigo,372
Greater Dandenong,2318
Greater Geelong,7832
Greater Shepparton,7578
Hepburn,2448
Hindmarsh,272
Hobsons Bay,109
Horsham,3249
Hume,397
Indigo,10437
Kingston,290
Knox,4697
Latrobe,3710
Loddon,3647
Macedon Ranges,164
Manningham,633
Maribyrnong,3832
Maroondah,127
Melbourne,3920
Melton,3055
Mildura,3384
Mitchell,6751
MOIRA,1744
Monash,1319
Moonee Valley,911
Moorabool,3197
Moreland,3334
Mornington Peninsula,1086
Mount Alexander,6121
Moyne,3831
Murrindindi,316
Nillumbik,284
Northern Grampians,316
Port Phillip,1022
Pyrenees,290
Queenscliffe,3052
South Gippsland,150
Southern Grampians,658
Stonnington,390
Strathbogie,1991
Surf Coast,215
Swan Hill,440
Towong,455
Wangaratta,140
Warrnambool,696
Wellington,885
West Wimmera,1350
Whitehorse,63
Whittlesea,5386
Wodonga,8151
Wyndham,1161
Yarra,9294
Yarra Ranges,3335
Yarriambiack,3894
,152