State,MajorGrouping,SubGrouping,NOMarrivals,NOMdepartures,NOM
New South Wales,Temporary visas,,56840,26030,30810
New South Wales,Temporary visas,Vocational Education and Training sector,3790,1580,2220
New South Wales,Temporary visas,Higher education sector,11440,2780,8660
New South Wales,Temporary visas,Student other,9620,3270,6350
New South Wales,Temporary visas,Temporary work skilled,6330,3730,2600
New South Wales,Temporary visas,Visitor,15530,6040,9490
New South Wales,Temporary visas,Working Holiday,7060,1800,5260
New South Wales,Temporary visas,Other temporary visas,3070,6840,-3760
New South Wales,Permanent visas,,29830,6590,23230
New South Wales,Permanent visas,Family,12410,1800,10610
New South Wales,Permanent visas,Skill,11690,2690,9000
New South Wales,Permanent visas,Special Eligibility and humanitarian,4380,100,4280
New South Wales,Permanent visas,Other permanent visas,1350,2000,-650
New South Wales,New Zealand Citizen (subclass 444),,11140,5890,5250
New South Wales,Australian Citizen,,23860,33540,-9670
New South Wales,Other,,3520,5690,-2170
New South Wales,Total,,125180,77740,47440
Victoria,Temporary visas,,34630,13480,21140
Victoria,Temporary visas,Vocational Education and Training sector,2300,620,1680
Victoria,Temporary visas,Higher education sector,10060,2570,7490
Victoria,Temporary visas,Student other,7530,2530,5000
Victoria,Temporary visas,Temporary work skilled,4130,1700,2430
Victoria,Temporary visas,Visitor,7270,2710,4550
Victoria,Temporary visas,Working Holiday,1800,480,1320
Victoria,Temporary visas,Other temporary visas,1550,2870,-1320
Victoria,Permanent visas,,22000,4210,17790
Victoria,Permanent visas,Family,7870,920,6960
Victoria,Permanent visas,Skill,9330,2020,7310
Victoria,Permanent visas,Special Eligibility and humanitarian,3920,50,3870
Victoria,Permanent visas,Other permanent visas,880,1230,-340
Victoria,New Zealand Citizen (subclass 444),,7020,3070,3950
Victoria,Australian Citizen,,16410,20880,-4470
Victoria,Other,,1180,1970,-790
Victoria,Total,,81230,43610,37620
Queensland,Temporary visas,,22460,9800,12670
Queensland,Temporary visas,Vocational Education and Training sector,850,450,410
Queensland,Temporary visas,Higher education sector,4750,1700,3050
Queensland,Temporary visas,Student other,4040,1730,2310
Queensland,Temporary visas,Temporary work skilled,2380,710,1680
Queensland,Temporary visas,Visitor,6200,2880,3320
Queensland,Temporary visas,Working Holiday,2230,730,1490
Queensland,Temporary visas,Other temporary visas,2020,1600,420
Queensland,Permanent visas,,10910,2230,8680
Queensland,Permanent visas,Family,3600,690,2920
Queensland,Permanent visas,Skill,5150,760,4390
Queensland,Permanent visas,Special Eligibility and humanitarian,1540,10,1530
Queensland,Permanent visas,Other permanent visas,610,780,-160
Queensland,New Zealand Citizen (subclass 444),,14160,5510,8660
Queensland,Australian Citizen,,14010,17180,-3160
Queensland,Other,,3840,3970,-120
Queensland,Total,,65390,38680,26710
South Australia,Temporary visas,,6930,2220,4710
South Australia,Temporary visas,Vocational Education and Training sector,240,110,130
South Australia,Temporary visas,Higher education sector,2380,460,1920
South Australia,Temporary visas,Student other,1540,510,1030
South Australia,Temporary visas,Temporary work skilled,740,190,540
South Australia,Temporary visas,Visitor,1200,410,790
South Australia,Temporary visas,Working Holiday,250,60,200
South Australia,Temporary visas,Other temporary visas,590,490,100
South Australia,Permanent visas,,5130,600,4520
South Australia,Permanent visas,Family,1250,180,1070
South Australia,Permanent visas,Skill,2550,190,2360
South Australia,Permanent visas,Special Eligibility and humanitarian,1190,20,1180
South Australia,Permanent visas,Other permanent visas,140,220,-80
South Australia,New Zealand Citizen (subclass 444),,740,340,400
South Australia,Australian Citizen,,3530,4470,-940
South Australia,Other,,280,430,-150
South Australia,Total,,16620,8070,8550
Western Australia,Temporary visas,,15960,5920,10030
Western Australia,Temporary visas,Vocational Education and Training sector,700,270,420
Western Australia,Temporary visas,Higher education sector,3150,1230,1920
Western Australia,Temporary visas,Student other,1860,660,1200
Western Australia,Temporary visas,Temporary work skilled,2820,720,2110
Western Australia,Temporary visas,Visitor,4390,1730,2670
Western Australia,Temporary visas,Working Holiday,1350,390,970
Western Australia,Temporary visas,Other temporary visas,1680,930,750
Western Australia,Permanent visas,,11260,1980,9280
Western Australia,Permanent visas,Family,2710,370,2340
Western Australia,Permanent visas,Skill,6190,790,5390
Western Australia,Permanent visas,Special Eligibility and humanitarian,1780,20,1760
Western Australia,Permanent visas,Other permanent visas,590,800,-210
Western Australia,New Zealand Citizen (subclass 444),,3480,1370,2110
Western Australia,Australian Citizen,,7980,9570,-1590
Western Australia,Other,,1310,1950,-630
Western Australia,Total,,39980,20780,19190
Tasmania,Temporary visas,,1280,460,830
Tasmania,Temporary visas,Vocational Education and Training sector,30,30,0
Tasmania,Temporary visas,Higher education sector,420,100,320
Tasmania,Temporary visas,Student other,240,70,170
Tasmania,Temporary visas,Temporary work skilled,100,20,80
Tasmania,Temporary visas,Visitor,320,140,180
Tasmania,Temporary visas,Working Holiday,50,20,30
Tasmania,Temporary visas,Other temporary visas,120,70,50
Tasmania,Permanent visas,,690,120,570
Tasmania,Permanent visas,Family,180,40,140
Tasmania,Permanent visas,Skill,190,30,160
Tasmania,Permanent visas,Special Eligibility and humanitarian,290,0,290
Tasmania,Permanent visas,Other permanent visas,20,50,-20
Tasmania,New Zealand Citizen (subclass 444),,170,140,30
Tasmania,Australian Citizen,,970,1100,-130
Tasmania,Other,,60,110,-50
Tasmania,Total,,3170,1930,1240
Northern Territory,Temporary visas,,1080,580,500
Northern Territory,Temporary visas,Vocational Education and Training sector,10,0,10
Northern Territory,Temporary visas,Higher education sector,50,10,40
Northern Territory,Temporary visas,Student other,50,50,0
Northern Territory,Temporary visas,Temporary work skilled,240,60,180
Northern Territory,Temporary visas,Visitor,470,220,250
Northern Territory,Temporary visas,Working Holiday,110,30,80
Northern Territory,Temporary visas,Other temporary visas,140,200,-50
Northern Territory,Permanent visas,,440,80,360
Northern Territory,Permanent visas,Family,190,20,170
Northern Territory,Permanent visas,Skill,110,20,90
Northern Territory,Permanent visas,Special Eligibility and humanitarian,120,0,120
Northern Territory,Permanent visas,Other permanent visas,20,30,-10
Northern Territory,New Zealand Citizen (subclass 444),,350,420,-60
Northern Territory,Australian Citizen,,710,860,-150
Northern Territory,Other,,1850,1490,360
Northern Territory,Total,,4430,3420,1010
Australian Capital Territory,Temporary visas,,2130,1030,1100
Australian Capital Territory,Temporary visas,Vocational Education and Training sector,60,20,40
Australian Capital Territory,Temporary visas,Higher education sector,510,170,340
Australian Capital Territory,Temporary visas,Student other,580,350,230
Australian Capital Territory,Temporary visas,Temporary work skilled,350,100,260
Australian Capital Territory,Temporary visas,Visitor,390,190,200
Australian Capital Territory,Temporary visas,Working Holiday,80,10,70
Australian Capital Territory,Temporary visas,Other temporary visas,160,200,-30
Australian Capital Territory,Permanent visas,,960,210,750
Australian Capital Territory,Permanent visas,Family,400,70,330
Australian Capital Territory,Permanent visas,Skill,340,70,270
Australian Capital Territory,Permanent visas,Special Eligibility and humanitarian,170,0,170
Australian Capital Territory,Permanent visas,Other permanent visas,50,70,-20
Australian Capital Territory,New Zealand Citizen (subclass 444),,270,190,70
Australian Capital Territory,Australian Citizen,,1790,2880,-1090
Australian Capital Territory,Other,,270,270,0
Australian Capital Territory,Total,,5410,4580,820
Australia(f),Temporary visas,,141300,59510,81790
Australia(f),Temporary visas,Vocational Education and Training sector,7990,3080,4900
Australia(f),Temporary visas,Higher education sector,32750,9010,23750
Australia(f),Temporary visas,Student other,25440,9150,16290
Australia(f),Temporary visas,Temporary work skilled,17100,7220,9880
Australia(f),Temporary visas,Visitor,35770,14320,21450
Australia(f),Temporary visas,Working Holiday,12930,3530,9400
Australia(f),Temporary visas,Other temporary visas,9320,13200,-3870
Australia(f),Permanent visas,,81210,16030,65180
Australia(f),Permanent visas,Family,28610,4090,24530
Australia(f),Permanent visas,Skill,35540,6570,28960
Australia(f),Permanent visas,Special Eligibility and humanitarian,13400,200,13210
Australia(f),Permanent visas,Other permanent visas,3650,5170,-1510
Australia(f),New Zealand Citizen (subclass 444),,37330,16920,20410
Australia(f),Australian Citizen,,69260,90480,-21220
Australia(f),Other,,12300,15880,-3570
Australia(f),Total,,341400,198820,142580